vwnd	LF-TOTAL	SF-TOTAL	RAND-TOTAL	LF-INDIV	SF-INDIV	RAND-INDIV
IC	633	727.08	725.87	87.92	84.43	83.85
AC	577.1	627.86	588.61	105.94	108.31	89.34
1	1351.8	1357.37	1324.42	44.62	44.64	43.7
2	801.1	813.73	763.98	52.58	50.95	49.6
4	572.13	625.14	606.38	73.43	71.78	74.52
#5	584.18	659.52	613.35	92.73	88.29	93.36
6	519.56	532.3	517.05	98.9	91.03	86.64
8	471.02	533.78	511.49	114.26	109.55	105.05
10	481.38	549.76	489.46	132.83	128.12	124.39
#12	457.07	494.08	438.09	152.21	133.06	131.74
#14	457.64	499.6	453.38	161.33	154.01	144.42
#16	449.78	489.43	448.69	177.15	168.1	157.02
#18	473.51	474.15	472.22	195.87	173.56	174.81
#20	452.88	448.45	445.98	196.23	179	180.27
30	466.93	464.02	461.07	231.9	229.01	234.84

#vwnd	lf-total	lf-indiv	sf-total	sf-indiv	rand-total	rand-indiv
#IC	633	87.92	727.08	84.43	725.87	83.85
#AC	577.1	105.94	627.86	108.31	588.61	89.34
#1	1351.8	44.62	1357.37	44.64	1324.42	43.7
#2	801.1	52.58	813.73	50.95	763.98	49.6
#4	572.13	73.43	625.14	71.78	606.38	74.52
#5	584.18	92.73	659.52	88.29	613.35	93.36
#6	519.56	98.9	532.3	91.03	517.05	86.64
#8	471.02	114.26	533.78	109.55	511.49	105.05
#10	481.38	132.83	549.76	128.12	489.46	124.39
#12	457.07	152.21	494.08	133.06	438.09	131.74
#14	457.64	161.33	499.6	154.01	453.38	144.42
#16	449.78	177.15	489.43	168.1	448.69	157.02
#18	473.51	195.87	474.15	173.56	472.22	174.81
#20	452.88	196.23	448.45	179	445.98	180.27
#30	466.93	231.9	464.02	229.01	461.07	234.84

